-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     triton_poi_fused_3         0.09%       2.967ms         0.11%       3.799ms      20.206us       2.716ms         0.08%       2.716ms      14.446us           188  
                nvjet_sm90_tst_64x224_64x5_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.583ms         0.07%       2.583ms      26.901us            96  
      triton_red_fused_fused_add_rms_norm_moe_forward_0         0.09%       2.891ms         0.16%       5.562ms      28.967us       2.572ms         0.07%       2.572ms      13.396us           192  
         nvjet_sm90_tst_128x288_64x4_4x1_v_bz_coopA_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.555ms         0.07%       2.555ms      26.619us            96  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.963ms         0.06%       1.963ms       1.390us          1412  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       1.802ms         0.05%       1.802ms       3.505us           514  
                                  cudaStreamIsCapturing         0.08%       2.834ms         0.08%       2.834ms       0.458us       1.662ms         0.05%       1.662ms       0.269us          6181  
                                            aten::index         0.69%      23.344ms         1.66%      55.991ms      54.360us       1.550ms         0.04%       2.262ms       2.196us          1030  
                                     triton_red_fused_2         0.06%       2.025ms         0.08%       2.764ms      14.703us       1.484ms         0.04%       1.484ms       7.891us           188  
                                   _moe_C::topk_softmax         0.04%       1.426ms         0.09%       2.955ms      15.393us       1.380ms         0.04%       1.380ms       7.186us           192  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.316ms         0.04%       1.316ms       1.280us          1028  
         triton_red_fused__to_copy_embedding_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us       1.277ms         0.04%       1.277ms       2.485us           514  
void tensorrt_llm::kernels::cutlass_kernels::blockEx...         0.00%       0.000us         0.00%       0.000us       0.000us       1.273ms         0.04%       1.273ms      13.256us            96  
                                            aten::fill_         0.41%      13.777ms         0.93%      31.295ms       8.253us       1.251ms         0.04%       1.252ms       0.330us          3792  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.246ms         0.04%       1.246ms       2.423us           514  
                                              aten::add         0.30%       9.988ms         0.44%      14.929ms       9.682us       1.135ms         0.03%       1.135ms       0.736us          1542  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     931.106us         0.03%     931.106us       1.804us           516  
                nvjet_sm90_tst_64x88_64x11_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     926.048us         0.03%     926.048us       9.646us            96  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     902.752us         0.03%     902.752us       0.741us          1218  
                    _vllm_fa3_C::get_scheduler_metadata         0.18%       6.103ms         0.38%      12.780ms      24.863us     894.948us         0.03%     894.948us       1.741us           514  
void flash::prepare_varlen_num_blocks_kernel<1, fals...         0.00%       0.000us         0.00%       0.000us       0.000us     894.948us         0.03%     894.948us       1.741us           514  
                                     triton_poi_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us     881.219us         0.03%     881.219us       1.714us           514  
                                     triton_red_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us     686.850us         0.02%     686.850us       1.336us           514  
                                    cudaStreamWaitEvent         0.03%     969.393us         0.03%     969.393us       1.886us     655.939us         0.02%     655.939us       1.276us           514  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     612.351us         0.02%     612.351us       1.196us           512  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     594.919us         0.02%     594.919us       1.157us           514  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     548.956us         0.02%     548.956us       1.068us           514  
                nvjet_sm90_tst_64x16_64x16_2x4_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     548.671us         0.02%     548.671us       5.715us            96  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     540.061us         0.02%     540.061us       1.051us           514  
tensorrt_llm::kernels::cutlass_kernels::mergeExpertP...         0.00%       0.000us         0.00%       0.000us       0.000us     537.411us         0.02%     537.411us       2.799us           192  
                                              aten::sub         0.15%       5.190ms         0.23%       7.854ms      15.279us     425.702us         0.01%     425.702us       0.828us           514  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     425.702us         0.01%     425.702us       0.828us           514  
                                  Lazy Function Loading         0.01%     449.113us         0.01%     449.113us      37.426us     379.106us         0.01%     379.106us      31.592us            12  
                               cudaEventRecordWithFlags         0.05%       1.635ms         0.05%       1.635ms       1.584us     360.708us         0.01%     360.708us       0.350us          1032  
                                       cuLaunchKernelEx         0.27%       9.070ms         0.27%       9.070ms       5.655us     348.035us         0.01%     348.035us       0.217us          1604  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     345.442us         0.01%     345.442us       0.667us           518  
void tensorrt_llm::kernels::cutlass_kernels::blockEx...         0.00%       0.000us         0.00%       0.000us       0.000us     253.252us         0.01%     253.252us       2.638us            96  
                                        cudaEventRecord         0.06%       1.972ms         0.06%       1.972ms       1.911us     221.218us         0.01%     221.218us       0.214us          1032  
                                        cudaGraphLaunch        15.93%     537.795ms        17.25%     582.277ms       1.142ms     190.177us         0.01%     192.065us       0.377us           510  
void tensorrt_llm::kernels::cutlass_kernels::globalE...         0.00%       0.000us         0.00%       0.000us       0.000us     172.100us         0.00%     172.100us       1.793us            96  
void tensorrt_llm::kernels::cutlass_kernels::globalE...         0.00%       0.000us         0.00%       0.000us       0.000us     122.430us         0.00%     122.430us       1.275us            96  
                                     triton_poi_fused_2         0.00%      95.487us         0.00%     117.989us      29.497us      58.977us         0.00%      58.977us      14.744us             4  
         triton_red_fused__to_copy_embedding_rms_norm_0         0.00%     120.407us         0.00%     167.412us      41.853us      37.152us         0.00%      37.152us       9.288us             4  
                                     triton_red_fused_1         0.00%      85.558us         0.00%     114.475us      28.619us      31.646us         0.00%      31.646us       7.912us             4  
                       Runtime Triggered Module Loading         0.01%     424.033us         0.01%     424.033us     424.033us      22.913us         0.00%      22.913us      22.913us             1  
                                           Buffer Flush         0.41%      13.915ms         0.41%      13.934ms     480.488us      10.336us         0.00%      10.336us       0.356us            29  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.080us         0.00%       6.080us       3.040us             2  
                                         aten::scatter_         0.33%      11.067ms         0.38%      12.853ms       6.427ms       3.007us         0.00%       3.007us       1.503us             2  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       3.007us         0.00%       3.007us       1.503us             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.624us         0.00%       2.624us       0.656us             4  
                                Activity Buffer Request         1.51%      51.012ms         1.53%      51.494ms       1.907ms       2.496us         0.00%      25.952us       0.961us            27  
                 execute_context_1(800)_generation_0(0)         0.51%      17.070ms         4.47%     150.833ms      75.417ms       0.000us         0.00%      53.075ms      26.538ms             2  
                                            aten::slice         1.24%      41.822ms         1.52%      51.181ms       2.005us       0.000us         0.00%       0.000us       0.000us         25532  
                                       aten::as_strided         0.37%      12.549ms         0.37%      12.549ms       0.416us       0.000us         0.00%       0.000us       0.000us         30156  
                                        cudaMemcpyAsync         1.34%      45.261ms         1.34%      45.261ms       7.112us       0.000us         0.00%       0.000us       0.000us          6364  
                                       aten::lift_fresh         0.01%     393.433us         0.01%     393.433us       0.191us       0.000us         0.00%       0.000us       0.000us          2060  
                                          aten::flatten         0.04%       1.427ms         0.09%       2.898ms       3.227us       0.000us         0.00%       0.000us       0.000us           898  
                                             aten::view         0.13%       4.446ms         0.13%       4.446ms       1.385us       0.000us         0.00%       0.000us       0.000us          3210  
                                     aten::index_select         0.05%       1.615ms         0.05%       1.615ms       3.143us       0.000us         0.00%       0.000us       0.000us           514  
                                           aten::detach         0.05%       1.640ms         0.05%       1.640ms       1.595us       0.000us         0.00%       0.000us       0.000us          1028  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.376s
Self CUDA time total: 3.510s

