trial,phase,wall_s,ok,target_req_per_s,reliable,warnings,moe_runner_backend,attention_backend,disable_cuda_graph,max_running_requests,chunked_prefill_size,schedule_policy,mem_fraction_static,R_short_decode_rps,R_medium_balanced_rps,R_long_prefill_rps,R_concurrent_decode_rps,R_prompt_8k_c4_out128_rps,R_prompt_16k_c2_out128_rps,R_prompt_32k_c1_out128_rps,R_prompt_50k_c1_out64_rps,R_short_decode_mfu,R_medium_balanced_mfu,R_long_prefill_mfu,R_concurrent_decode_mfu,R_prompt_8k_c4_out128_mfu,R_prompt_16k_c2_out128_mfu,R_prompt_32k_c1_out128_mfu,R_prompt_50k_c1_out64_mfu,spec_hash,server_startup_s
16,tpe,66.0,True,23.7538,True,unreliable stddev_pct on regimes: ['R_long_prefill'] (threshold=8.0%),auto,fa3,False,32,8192,fcfs,0.75,1.69,7.3377,16.4987,23.7538,7.24,4.3077,2.4136,2.8421,0.14,0.608,0.171,1.968,0.3,0.178,0.1,0.059,sha256:03bcded3a136ab8efdb7b7727bb9118f12b7b7d158dd486dc40a8dccb1f53f23,25.1
17,tpe,69.1,True,14.2188,True,,auto,fa3,False,16,8192,fcfs,0.75,1.6917,7.3025,13.5683,14.2188,7.2907,4.1269,2.384,2.8609,0.14,0.605,0.14,1.178,0.302,0.171,0.099,0.059,sha256:dceac9f00cc858d3b71c50bb66d0e3b64f5a8c31145557bde7b73061b99868af,25.1
18,tpe,271.9,True,1.756,True,,auto,fa3,True,8,8192,fcfs,0.75,0.2237,1.7823,5.3293,1.756,1.6493,0.8358,0.4318,0.775,0.019,0.148,0.055,0.145,0.068,0.035,0.018,0.016,sha256:9ba6adfe8be18bd9dcce2a2b62c831e19b695d2066870add0ddc05cfa7a62af6,25.1
19,tpe,66.6,True,23.8966,True,,auto,fa3,False,32,8192,fcfs,0.75,1.6852,7.3072,14.7696,23.8966,7.2281,4.1228,2.338,2.7618,0.14,0.605,0.153,1.979,0.299,0.171,0.097,0.057,sha256:7ebb69cdbff920da17736f1f6e8e487cce267eb4e7602d8a84968525f92c2a10,25.1
20,tpe,67.0,True,23.7044,True,unreliable stddev_pct on regimes: ['R_long_prefill'] (threshold=8.0%),auto,fa3,False,32,8192,fcfs,0.75,1.6887,7.3056,15.9776,23.7044,7.1126,4.0455,2.3325,2.7944,0.14,0.605,0.165,1.963,0.295,0.168,0.097,0.058,sha256:cf9abce1e7d658f71c8cabf035dba0947cd7fbde0e1d575e98cd0127c3c709bc,25.1
21,tpe,66.5,True,23.6391,True,,auto,fa3,False,32,8192,fcfs,0.75,1.6875,7.3221,14.6033,23.6391,7.1089,4.2193,2.297,2.7311,0.14,0.606,0.151,1.958,0.294,0.175,0.095,0.057,sha256:adf2ec7132b23db50028281dbfea63e5a6561250b5181c0315e0022fd84a1e66,25.1
22,tpe,67.6,True,23.7434,True,,auto,fa3,False,32,8192,fcfs,0.75,1.6977,7.31,14.268,23.7434,7.141,4.2181,2.4327,2.8757,0.141,0.605,0.148,1.967,0.296,0.175,0.101,0.06,sha256:cc5e0f0af38071390170697a4e11f397a84f8c5f1bee0e507767d7c9c2537387,25.1
23,tpe,66.2,True,23.7715,True,unreliable stddev_pct on regimes: ['R_long_prefill'] (threshold=8.0%),auto,fa3,False,32,8192,fcfs,0.75,1.6888,7.3064,15.9113,23.7715,7.1952,4.2204,2.4296,2.8446,0.14,0.605,0.165,1.969,0.298,0.175,0.101,0.059,sha256:d0fe7dbfe928c37e32bab4bc27eb32d0bfb40a342cf415b8b252c6208076e0b5,25.1
24,tpe,66.1,True,23.7061,True,unreliable stddev_pct on regimes: ['R_long_prefill'] (threshold=8.0%),auto,fa3,False,32,8192,fcfs,0.75,1.6892,7.3413,16.5552,23.7061,7.304,4.1377,2.4381,2.8812,0.14,0.608,0.171,1.964,0.303,0.171,0.101,0.06,sha256:51fbde1f166defb2801382bd68dd1d5edc43c07dc328cc1fe2e824826a5b7099,25.1
25,tpe,69.7,True,22.1264,True,unreliable stddev_pct on regimes: ['R_long_prefill'] (threshold=8.0%),flashinfer_cutlass,fa3,False,32,8192,fcfs,0.75,1.6483,7.1275,12.0369,22.1264,6.5894,3.6778,2.3406,2.6513,0.137,0.59,0.125,1.833,0.273,0.152,0.097,0.055,sha256:ba111208b4753fda22c1c35bc0d8c1a995c60bb761c5b5273935a02e0c613925,25.1
26,tpe,234.9,True,3.6037,True,,auto,fa3,True,16,8192,fcfs,0.75,0.2337,1.7927,5.2719,3.6037,1.689,0.849,0.448,0.7842,0.019,0.148,0.055,0.298,0.07,0.035,0.019,0.016,sha256:b0d4ebf4494314ed3ed15679f612e26a5399e28fbc11d040ad88416245a07387,22.1
27,tpe,73.4,True,8.4692,True,unreliable stddev_pct on regimes: ['R_long_prefill'] (threshold=8.0%),auto,fa3,False,8,8192,fcfs,0.75,1.6943,7.3175,16.3214,8.4692,7.3337,4.1565,2.3891,2.9124,0.14,0.606,0.169,0.702,0.304,0.172,0.099,0.06,sha256:ba27e17c7440e3bee2e80fafbcf87fd4010f6b48e9d86123f4b5f4eb743e7d47,25.1
28,tpe,66.1,True,23.8114,True,unreliable stddev_pct on regimes: ['R_long_prefill'] (threshold=8.0%),auto,fa3,False,64,8192,fcfs,0.75,1.6894,7.3157,16.5439,23.8114,7.2844,4.0833,2.442,2.8554,0.14,0.606,0.171,1.972,0.302,0.169,0.101,0.059,sha256:f9e0c7050bd9d9ca40c653e18e1f0eda42c634782054f582038a0f1db570ce2c,25.1
29,tpe,66.6,True,23.1537,True,,auto,fa3,False,64,2048,fcfs,0.85,1.6916,7.3913,20.1849,23.1537,7.7648,4.5716,2.3847,3.0522,0.14,0.612,0.209,1.918,0.322,0.189,0.099,0.063,sha256:fae7b9fd8776ba6ce5d211b2be57692044c0d2d7869c893cab7816ef29334a09,25.1
