model,config,config_flags,regime,prompt_words,out_tok,concurrency,req_per_s,tokens_per_s,MFU_simple_pct,MFU_amortized_pct,MBU_pct,HBM_BW_peak_pct,VRAM_peak_GB,decode_step_ms_at_this_batch,gen_throughput_at_this_batch,reliable
qwen3-30b-a3b-fp8,big_batch_cap128,cap=128 chunk=2048 fcfs mem=0.90,R_decode_c128_out256,200,256,128,46.8289,11988.2,5.697,11.607,9.171,54.0,126.6,9.416,13593.6,True
qwen3-0.6b,cookbook_baseline,cap=32 chunk=-1 lpm mem=0.85,R_decode_c1_out2k,100,2048,1,0.269,550.9,0.067,0.078,13.771,52.0,119.5,0.375,2669.7,True
qwen3-0.6b,cookbook_baseline,cap=32 chunk=-1 lpm mem=0.85,R_conc_ref,200,256,32,49.6359,12706.8,1.542,3.184,9.927,52.0,119.5,2.269,14103.8,True
qwen3-0.6b,cookbook_baseline,cap=32 chunk=-1 lpm mem=0.85,R_decode_c32_out1k,200,1024,32,11.9148,12200.8,1.48,1.97,9.532,52.0,119.5,2.269,14103.8,True
qwen3-0.6b,cookbook_baseline,cap=32 chunk=-1 lpm mem=0.85,R_decode_c64_out512,200,512,64,26.0695,13347.6,1.62,2.532,5.214,52.0,119.5,,,True
qwen3-0.6b,cookbook_baseline,cap=32 chunk=-1 lpm mem=0.85,R_decode_c128_out256,200,256,128,53.7952,13771.6,1.671,3.451,2.69,52.0,119.5,,,True
qwen3-0.6b,v3_best_chunk8k,cap=32 chunk=8192 fcfs mem=0.75,R_decode_c1_out2k,100,2048,1,0.2682,549.2,0.067,0.078,13.73,51.0,105.7,0.351,2850.9,True
qwen3-0.6b,v3_best_chunk8k,cap=32 chunk=8192 fcfs mem=0.75,R_conc_ref,200,256,32,49.6848,12719.3,1.543,3.187,9.937,51.0,105.7,2.27,14095.2,True
qwen3-0.6b,v3_best_chunk8k,cap=32 chunk=8192 fcfs mem=0.75,R_decode_c32_out1k,200,1024,32,11.9493,12236.1,1.485,1.976,9.559,51.0,105.7,2.27,14095.2,True
qwen3-0.6b,v3_best_chunk8k,cap=32 chunk=8192 fcfs mem=0.75,R_decode_c64_out512,200,512,64,26.1221,13374.5,1.623,2.537,5.224,51.0,105.7,,,True
qwen3-0.6b,v3_best_chunk8k,cap=32 chunk=8192 fcfs mem=0.75,R_decode_c128_out256,200,256,128,54.4178,13931.0,1.69,3.491,2.721,51.0,105.7,,,True
qwen3-0.6b,big_batch_cap128,cap=128 chunk=2048 fcfs mem=0.90,R_decode_c1_out2k,100,2048,1,0.2776,568.6,0.069,0.081,14.214,51.0,126.3,0.076,13131.2,True
qwen3-0.6b,big_batch_cap128,cap=128 chunk=2048 fcfs mem=0.90,R_conc_ref,200,256,32,49.359,12635.9,1.533,3.167,9.872,51.0,126.3,2.396,13356.6,True
qwen3-0.6b,big_batch_cap128,cap=128 chunk=2048 fcfs mem=0.90,R_decode_c32_out1k,200,1024,32,11.9571,12244.0,1.486,1.977,9.566,51.0,126.3,2.396,13356.6,True
qwen3-0.6b,big_batch_cap128,cap=128 chunk=2048 fcfs mem=0.90,R_decode_c64_out512,200,512,64,38.2811,19599.9,2.378,3.718,7.656,51.0,126.3,2.933,21818.3,True
qwen3-0.6b,big_batch_cap128,cap=128 chunk=2048 fcfs mem=0.90,R_decode_c128_out256,200,256,128,103.5183,26500.7,3.215,6.641,5.176,51.0,126.3,3.774,33912.7,True
