model,config,regime,bench_tokens_per_s,bench_req_per_s,kernel_rank,kernel_short,kernel_full_name,count,total_ms,mean_us,share_of_top5_pct
lfm2.5-8b-a1b,big_batch_cap128,R_decode_c128_out256,12348.3,48.235,5,elementwise_mul,"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::BinaryFun",3492,17.98,5.15,2.5
qwen3-30b-a3b-bf16,cookbook_baseline,R_decode_c1_out2k,231.0,0.113,1,fused_moe_kernel,fused_moe_kernel,9504,116.21,12.23,46.7
qwen3-30b-a3b-bf16,cookbook_baseline,R_decode_c1_out2k,231.0,0.113,2,flash_attention,void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMai,4656,37.42,8.04,15.1
qwen3-30b-a3b-bf16,cookbook_baseline,R_decode_c1_out2k,231.0,0.113,3,nvjet_gemm_64x8_64x16,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4752,37.15,7.82,14.9
qwen3-30b-a3b-bf16,cookbook_baseline,R_decode_c1_out2k,231.0,0.113,4,nvjet_gemm_64x8_64x16,nvjet_tst_64x8_64x16_4x1_v_bz_splitK_TNT,4752,33.95,7.14,13.7
qwen3-30b-a3b-bf16,cookbook_baseline,R_decode_c1_out2k,231.0,0.113,5,nvjet_gemm_64x8_64x16,nvjet_tst_64x8_64x16_2x1_v_bz_TNT,4752,23.87,5.02,9.6
qwen3-30b-a3b-bf16,cookbook_baseline,R_conc_ref,3742.4,14.619,1,fused_moe_kernel,fused_moe_kernel,9504,415.26,43.69,73.0
qwen3-30b-a3b-bf16,cookbook_baseline,R_conc_ref,3742.4,14.619,2,flash_attention,void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMai,4608,56.2,12.2,9.9
qwen3-30b-a3b-bf16,cookbook_baseline,R_conc_ref,3742.4,14.619,3,nvjet_gemm_64x32_64x16,nvjet_tst_64x32_64x16_4x1_v_bz_TNT,4608,37.09,8.05,6.5
qwen3-30b-a3b-bf16,cookbook_baseline,R_conc_ref,3742.4,14.619,4,nvjet_gemm_64x32_64x16,nvjet_tst_64x32_64x16_4x1_v_bz_splitK_TNT,4608,35.48,7.7,6.2
qwen3-30b-a3b-bf16,cookbook_baseline,R_conc_ref,3742.4,14.619,5,nvjet_gemm_64x8_64x16,nvjet_tst_64x8_64x16_2x4_v_bz_TNT,4608,24.65,5.35,4.3
