model,reg,kernel,sm,dram,mem,occ,theo_occ,l2,dur,maxbw
qwen3-30b-a3b-bf16,agent_decode_b64,"void cutlass::device_kernel<flash::FlashAttnFwdCombine<cute::tuple<cute::C<8>, cute::C<128>>, 5, 256, 1, 0, 1, cutlass::bfloat16_t, float, arch::Sm90>>(T1::Params)",9.02,0.12,1.29,26.69,62.5,65.42,2.5,1.29
qwen3-30b-a3b-bf16,agent_decode_b64,"void cutlass::device_kernel<flash::FlashAttnFwdCombine<cute::tuple<cute::C<8>, cute::C<128>>, 5, 256, 1, 0, 1, cutlass::bfloat16_t, float, arch::Sm90>>(T1::Params)",9.02,0.12,1.29,26.69,62.5,65.42,2.5,1.29
qwen3-30b-a3b-bf16,agent_decode_b64,"void cutlass::device_kernel<flash::FlashAttnFwdCombine<cute::tuple<cute::C<8>, cute::C<128>>, 5, 256, 1, 0, 1, cutlass::bfloat16_t, float, arch::Sm90>>(T1::Params)",9.02,0.12,1.29,26.69,62.5,65.42,2.5,1.29
qwen3-30b-a3b-bf16,agent_decode_b64,"void cutlass::device_kernel<flash::FlashAttnFwdCombine<cute::tuple<cute::C<8>, cute::C<128>>, 5, 256, 1, 0, 1, cutlass::bfloat16_t, float, arch::Sm90>>(T1::Params)",9.02,0.12,1.29,26.69,62.5,65.42,2.5,1.29
qwen3-30b-a3b-bf16,agent_decode_b64,nvjet_tst_64x64_64x13_4x1_v_bz_splitK_TNT,11.93,38.7,38.7,14.07,18.75,21.33,9.34,38.7
qwen3-30b-a3b-bf16,agent_decode_b64,nvjet_tst_64x64_64x13_4x1_v_bz_splitK_TNT,11.93,38.7,38.7,14.07,18.75,21.33,9.34,38.7
qwen3-30b-a3b-bf16,agent_decode_b64,nvjet_tst_64x64_64x13_4x1_v_bz_splitK_TNT,11.93,38.7,38.7,14.07,18.75,21.33,9.34,38.7
qwen3-30b-a3b-bf16,agent_decode_b64,nvjet_tst_64x64_64x13_4x1_v_bz_splitK_TNT,11.93,38.7,38.7,14.07,18.75,21.33,9.34,38.7
qwen3-30b-a3b-bf16,agent_decode_b64,"void norm::FusedAddRMSNormKernel<8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)",3.16,2.73,3.65,12.95,100.0,56.42,4.16,3.65
qwen3-30b-a3b-bf16,agent_decode_b64,"void norm::FusedAddRMSNormKernel<8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)",3.16,2.73,3.65,12.95,100.0,56.42,4.16,3.65
qwen3-30b-a3b-bf16,agent_decode_b64,"void norm::FusedAddRMSNormKernel<8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)",3.16,2.73,3.65,12.95,100.0,56.42,4.16,3.65
qwen3-30b-a3b-bf16,agent_decode_b64,"void norm::FusedAddRMSNormKernel<8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)",3.16,2.73,3.65,12.95,100.0,56.42,4.16,3.65
qwen3-30b-a3b-bf16,agent_decode_b64,nvjet_tst_64x8_64x16_2x4_v_bz_TNT,1.85,2.38,2.51,13.86,18.75,33.84,7.04,2.38
qwen3-30b-a3b-bf16,agent_decode_b64,nvjet_tst_64x8_64x16_2x4_v_bz_TNT,1.85,2.38,2.51,13.86,18.75,33.84,7.04,2.38
qwen3-30b-a3b-bf16,agent_decode_b64,nvjet_tst_64x8_64x16_2x4_v_bz_TNT,1.85,2.38,2.51,13.86,18.75,33.84,7.04,2.38
qwen3-30b-a3b-bf16,agent_decode_b64,nvjet_tst_64x8_64x16_2x4_v_bz_TNT,1.85,2.38,2.51,13.86,18.75,33.84,7.04,2.38
qwen3-30b-a3b-bf16,agent_decode_b64,"void topkGatingSoftmax<__nv_bfloat16, 8, 128, 4, 16>(const T1 *, const bool *, float *, int, int *, int, int, int, bool, float, const float *)",0.65,0.09,0.4,5.92,100.0,61.36,5.92,0.4
qwen3-30b-a3b-bf16,agent_decode_b64,"void topkGatingSoftmax<__nv_bfloat16, 8, 128, 4, 16>(const T1 *, const bool *, float *, int, int *, int, int, int, bool, float, const float *)",0.65,0.09,0.4,5.92,100.0,61.36,5.92,0.4
qwen3-30b-a3b-bf16,agent_decode_b64,"void topkGatingSoftmax<__nv_bfloat16, 8, 128, 4, 16>(const T1 *, const bool *, float *, int, int *, int, int, int, bool, float, const float *)",0.65,0.09,0.4,5.92,100.0,61.36,5.92,0.4
qwen3-30b-a3b-bf16,agent_decode_b64,"void topkGatingSoftmax<__nv_bfloat16, 8, 128, 4, 16>(const T1 *, const bool *, float *, int, int *, int, int, int, bool, float, const float *)",0.65,0.09,0.4,5.92,100.0,61.36,5.92,0.4
qwen3-30b-a3b-bf16,agent_decode_b64,fused_moe_kernel,12.66,59.66,59.66,23.57,25.0,20.14,84.86,59.66
qwen3-30b-a3b-bf16,agent_decode_b64,fused_moe_kernel,12.66,59.66,59.66,23.57,25.0,20.14,84.86,59.66
qwen3-30b-a3b-bf16,agent_decode_b64,fused_moe_kernel,12.66,59.66,59.66,23.57,25.0,20.14,84.86,59.66
qwen3-30b-a3b-bf16,agent_decode_b64,fused_moe_kernel,12.66,59.66,59.66,23.57,25.0,20.14,84.86,59.66
qwen3-30b-a3b-bf16,agent_decode_b64,"void activation::act_and_mul_kernel<__nv_bfloat16, &silu<float>>(T1 *, const T1 *, int)",6.54,8.93,8.93,15.51,98.44,39.26,3.71,8.93
qwen3-30b-a3b-bf16,agent_decode_b64,"void activation::act_and_mul_kernel<__nv_bfloat16, &silu<float>>(T1 *, const T1 *, int)",6.54,8.93,8.93,15.51,98.44,39.26,3.71,8.93
qwen3-30b-a3b-bf16,agent_decode_b64,"void activation::act_and_mul_kernel<__nv_bfloat16, &silu<float>>(T1 *, const T1 *, int)",6.54,8.93,8.93,15.51,98.44,39.26,3.71,8.93
qwen3-30b-a3b-bf16,agent_decode_b64,"void activation::act_and_mul_kernel<__nv_bfloat16, &silu<float>>(T1 *, const T1 *, int)",6.54,8.93,8.93,15.51,98.44,39.26,3.71,8.93
qwen3-30b-a3b-bf16,agent_decode_b64,"void moe_sum_reduce_kernel<c10::BFloat16, 8>(const T1 *, T1 *, long, long, long, long, long, at::OpMathType<T1>::type)",10.96,10.78,10.78,39.16,100.0,21.82,4.06,10.78
qwen3-30b-a3b-bf16,agent_decode_b64,"void moe_sum_reduce_kernel<c10::BFloat16, 8>(const T1 *, T1 *, long, long, long, long, long, at::OpMathType<T1>::type)",10.96,10.78,10.78,39.16,100.0,21.82,4.06,10.78
qwen3-30b-a3b-bf16,agent_decode_b64,"void moe_sum_reduce_kernel<c10::BFloat16, 8>(const T1 *, T1 *, long, long, long, long, long, at::OpMathType<T1>::type)",10.96,10.78,10.78,39.16,100.0,21.82,4.06,10.78
qwen3-30b-a3b-bf16,agent_decode_b64,"void moe_sum_reduce_kernel<c10::BFloat16, 8>(const T1 *, T1 *, long, long, long, long, long, at::OpMathType<T1>::type)",10.96,10.78,10.78,39.16,100.0,21.82,4.06,10.78
qwen3-30b-a3b-bf16,agent_prefill_b1,"void norm::RMSNormKernel<8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)",50.56,25.24,30.24,79.7,100.0,51.46,9.18,30.24
qwen3-30b-a3b-bf16,agent_prefill_b1,"void norm::RMSNormKernel<8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)",50.56,25.24,30.24,79.7,100.0,51.46,9.18,30.24
qwen3-30b-a3b-bf16,agent_prefill_b1,"void norm::RMSNormKernel<8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)",50.56,25.24,30.24,79.7,100.0,51.46,9.18,30.24
qwen3-30b-a3b-bf16,agent_prefill_b1,"void norm::RMSNormKernel<8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)",50.56,25.24,30.24,79.7,100.0,51.46,9.18,30.24
qwen3-30b-a3b-bf16,agent_prefill_b1,nvjet_tst_128x208_64x5_2x1_v_bz_coopA_TNT,85.37,17.19,59.14,14.63,18.75,81.07,75.01,56.65
qwen3-30b-a3b-bf16,agent_prefill_b1,nvjet_tst_128x208_64x5_2x1_v_bz_coopA_TNT,85.37,17.19,59.14,14.63,18.75,81.07,75.01,56.65
qwen3-30b-a3b-bf16,agent_prefill_b1,nvjet_tst_128x208_64x5_2x1_v_bz_coopA_TNT,85.37,17.19,59.14,14.63,18.75,81.07,75.01,56.65
qwen3-30b-a3b-bf16,agent_prefill_b1,nvjet_tst_128x208_64x5_2x1_v_bz_coopA_TNT,85.37,17.19,59.14,14.63,18.75,81.07,75.01,56.65
qwen3-30b-a3b-bf16,agent_prefill_b1,"void flashinfer::BatchQKApplyRotaryPosIdsCosSinCacheEnhancedHeadParallelismKernel<1, 0, 128, 8, 16, __nv_bfloat16, long>(T6 *, T6 *, T6 *, T6 *, T6 *, T6 *, T6 *, float *, T7 *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, T7 *)",40.75,34.92,52.75,40.28,62.5,67.55,20.03,45.98
qwen3-30b-a3b-bf16,agent_prefill_b1,"void flashinfer::BatchQKApplyRotaryPosIdsCosSinCacheEnhancedHeadParallelismKernel<1, 0, 128, 8, 16, __nv_bfloat16, long>(T6 *, T6 *, T6 *, T6 *, T6 *, T6 *, T6 *, float *, T7 *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, T7 *)",40.75,34.92,52.75,40.28,62.5,67.55,20.03,45.98
qwen3-30b-a3b-bf16,agent_prefill_b1,"void flashinfer::BatchQKApplyRotaryPosIdsCosSinCacheEnhancedHeadParallelismKernel<1, 0, 128, 8, 16, __nv_bfloat16, long>(T6 *, T6 *, T6 *, T6 *, T6 *, T6 *, T6 *, float *, T7 *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, T7 *)",40.75,34.92,52.75,40.28,62.5,67.55,20.03,45.98
qwen3-30b-a3b-bf16,agent_prefill_b1,"void flashinfer::BatchQKApplyRotaryPosIdsCosSinCacheEnhancedHeadParallelismKernel<1, 0, 128, 8, 16, __nv_bfloat16, long>(T6 *, T6 *, T6 *, T6 *, T6 *, T6 *, T6 *, float *, T7 *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, T7 *)",40.75,34.92,52.75,40.28,62.5,67.55,20.03,45.98
qwen3-30b-a3b-bf16,agent_prefill_b1,"void flash::prepare_varlen_num_blocks_kernel<1, 1>(int, int, int, const int *, const int *, const int *, const int *, const int *, const int *, int, int, int, int, int, cutlass::FastDivmod, cutlass::FastDivmod, int *, int *, int *, int *, int *, bool, bool, bool, int)",0.01,0.05,0.3,1.56,50.0,51.77,5.25,0.3
qwen3-30b-a3b-bf16,agent_prefill_b1,"void flash::prepare_varlen_num_blocks_kernel<1, 1>(int, int, int, const int *, const int *, const int *, const int *, const int *, const int *, int, int, int, int, int, cutlass::FastDivmod, cutlass::FastDivmod, int *, int *, int *, int *, int *, bool, bool, bool, int)",0.01,0.05,0.3,1.56,50.0,51.77,5.25,0.3
qwen3-30b-a3b-bf16,agent_prefill_b1,"void flash::prepare_varlen_num_blocks_kernel<1, 1>(int, int, int, const int *, const int *, const int *, const int *, const int *, const int *, int, int, int, int, int, cutlass::FastDivmod, cutlass::FastDivmod, int *, int *, int *, int *, int *, bool, bool, bool, int)",0.01,0.05,0.3,1.56,50.0,51.77,5.25,0.3
qwen3-30b-a3b-bf16,agent_prefill_b1,"void flash::prepare_varlen_num_blocks_kernel<1, 1>(int, int, int, const int *, const int *, const int *, const int *, const int *, const int *, int, int, int, int, int, cutlass::FastDivmod, cutlass::FastDivmod, int *, int *, int *, int *, int *, bool, bool, bool, int)",0.01,0.05,0.3,1.56,50.0,51.77,5.25,0.3
qwen3-30b-a3b-bf16,agent_prefill_b1,"void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMainloopFwdSm90<2, cute::tuple<cute::C<1>, cute::C<1>, cute::C<1>>, cute::tuple<cute::C<128>, cute::C<128>, cute::C<128>>, 128, cutlass::bfloat16_t, float, arch::Sm90, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, cutlass::bfloat16_t>, flash::CollectiveEpilogueFwd<cute::tuple<cute::C<128>, cute::C<128>, cute::C<128>>, cute::tuple<cute::C<1>, cute::C<1>, cute::C<1>>, cutlass::bfloat16_t, arch::Sm90, 256, 1, 1, 0, 0>, flash::VarlenDynamicPersistentTileScheduler<128, 128, 256, 128, 0, 1, 1, 1, 1, 1>>>>(T1::Params)",56.68,5.67,44.49,18.81,18.75,88.8,120.77,41.72
qwen3-30b-a3b-bf16,agent_prefill_b1,"void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMainloopFwdSm90<2, cute::tuple<cute::C<1>, cute::C<1>, cute::C<1>>, cute::tuple<cute::C<128>, cute::C<128>, cute::C<128>>, 128, cutlass::bfloat16_t, float, arch::Sm90, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, cutlass::bfloat16_t>, flash::CollectiveEpilogueFwd<cute::tuple<cute::C<128>, cute::C<128>, cute::C<128>>, cute::tuple<cute::C<1>, cute::C<1>, cute::C<1>>, cutlass::bfloat16_t, arch::Sm90, 256, 1, 1, 0, 0>, flash::VarlenDynamicPersistentTileScheduler<128, 128, 256, 128, 0, 1, 1, 1, 1, 1>>>>(T1::Params)",56.68,5.67,44.49,18.81,18.75,88.8,120.77,41.72
qwen3-30b-a3b-bf16,agent_prefill_b1,"void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMainloopFwdSm90<2, cute::tuple<cute::C<1>, cute::C<1>, cute::C<1>>, cute::tuple<cute::C<128>, cute::C<128>, cute::C<128>>, 128, cutlass::bfloat16_t, float, arch::Sm90, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, cutlass::bfloat16_t>, flash::CollectiveEpilogueFwd<cute::tuple<cute::C<128>, cute::C<128>, cute::C<128>>, cute::tuple<cute::C<1>, cute::C<1>, cute::C<1>>, cutlass::bfloat16_t, arch::Sm90, 256, 1, 1, 0, 0>, flash::VarlenDynamicPersistentTileScheduler<128, 128, 256, 128, 0, 1, 1, 1, 1, 1>>>>(T1::Params)",56.68,5.67,44.49,18.81,18.75,88.8,120.77,41.72
qwen3-30b-a3b-bf16,agent_prefill_b1,"void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMainloopFwdSm90<2, cute::tuple<cute::C<1>, cute::C<1>, cute::C<1>>, cute::tuple<cute::C<128>, cute::C<128>, cute::C<128>>, 128, cutlass::bfloat16_t, float, arch::Sm90, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, cutlass::bfloat16_t>, flash::CollectiveEpilogueFwd<cute::tuple<cute::C<128>, cute::C<128>, cute::C<128>>, cute::tuple<cute::C<1>, cute::C<1>, cute::C<1>>, cutlass::bfloat16_t, arch::Sm90, 256, 1, 1, 0, 0>, flash::VarlenDynamicPersistentTileScheduler<128, 128, 256, 128, 0, 1, 1, 1, 1, 1>>>>(T1::Params)",56.68,5.67,44.49,18.81,18.75,88.8,120.77,41.72
qwen3-30b-a3b-bf16,agent_prefill_b1,nvjet_tst_176x128_64x5_1x2_h_bz_TNN,88.56,22.8,61.59,14.35,18.75,71.05,61.92,60.41
qwen3-30b-a3b-bf16,agent_prefill_b1,nvjet_tst_176x128_64x5_1x2_h_bz_TNN,88.56,22.8,61.59,14.35,18.75,71.05,61.92,60.41
qwen3-30b-a3b-bf16,agent_prefill_b1,nvjet_tst_176x128_64x5_1x2_h_bz_TNN,88.56,22.8,61.59,14.35,18.75,71.05,61.92,60.41
qwen3-30b-a3b-bf16,agent_prefill_b1,nvjet_tst_176x128_64x5_1x2_h_bz_TNN,88.56,22.8,61.59,14.35,18.75,71.05,61.92,60.41
qwen3-30b-a3b-bf16,agent_prefill_b1,"void norm::FusedAddRMSNormKernel<8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)",37.5,37.33,39.87,85.68,100.0,51.37,14.5,37.33
qwen3-30b-a3b-bf16,agent_prefill_b1,"void norm::FusedAddRMSNormKernel<8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)",37.5,37.33,39.87,85.68,100.0,51.37,14.5,37.33
qwen3-30b-a3b-bf16,agent_prefill_b1,"void norm::FusedAddRMSNormKernel<8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)",37.5,37.33,39.87,85.68,100.0,51.37,14.5,37.33
qwen3-30b-a3b-bf16,agent_prefill_b1,"void norm::FusedAddRMSNormKernel<8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)",37.5,37.33,39.87,85.68,100.0,51.37,14.5,37.33
qwen3-30b-a3b-bf16,agent_prefill_b1,nvjet_tst_64x64_64x13_2x4_h_bz_TNT,18.41,29.53,29.53,13.71,18.75,29.74,8.19,29.53
qwen3-30b-a3b-bf16,agent_prefill_b1,nvjet_tst_64x64_64x13_2x4_h_bz_TNT,18.41,29.53,29.53,13.71,18.75,29.74,8.19,29.53
qwen3-30b-a3b-bf16,agent_prefill_b1,nvjet_tst_64x64_64x13_2x4_h_bz_TNT,18.41,29.53,29.53,13.71,18.75,29.74,8.19,29.53
qwen3-30b-a3b-bf16,agent_prefill_b1,nvjet_tst_64x64_64x13_2x4_h_bz_TNT,18.41,29.53,29.53,13.71,18.75,29.74,8.19,29.53
qwen3-30b-a3b-bf16,agent_prefill_b1,"void topkGatingSoftmax<__nv_bfloat16, 8, 128, 4, 16>(const T1 *, const bool *, float *, int, int *, int, int, int, bool, float, const float *)",24.04,2.17,8.66,15.74,100.0,71.07,6.78,8.4
qwen3-30b-a3b-bf16,agent_prefill_b1,"void topkGatingSoftmax<__nv_bfloat16, 8, 128, 4, 16>(const T1 *, const bool *, float *, int, int *, int, int, int, bool, float, const float *)",24.04,2.17,8.66,15.74,100.0,71.07,6.78,8.4
qwen3-30b-a3b-bf16,agent_prefill_b1,"void topkGatingSoftmax<__nv_bfloat16, 8, 128, 4, 16>(const T1 *, const bool *, float *, int, int *, int, int, int, bool, float, const float *)",24.04,2.17,8.66,15.74,100.0,71.07,6.78,8.4
qwen3-30b-a3b-bf16,agent_prefill_b1,"void topkGatingSoftmax<__nv_bfloat16, 8, 128, 4, 16>(const T1 *, const bool *, float *, int, int *, int, int, int, bool, float, const float *)",24.04,2.17,8.66,15.74,100.0,71.07,6.78,8.4
qwen3-30b-a3b-bf16,agent_prefill_b1,fused_moe_kernel,66.55,60.19,60.19,12.46,12.5,40.13,324.64,60.19
qwen3-30b-a3b-bf16,agent_prefill_b1,fused_moe_kernel,66.55,60.19,60.19,12.46,12.5,40.13,324.64,60.19
qwen3-30b-a3b-bf16,agent_prefill_b1,fused_moe_kernel,66.55,60.19,60.19,12.46,12.5,40.13,324.64,60.19
qwen3-30b-a3b-bf16,agent_prefill_b1,fused_moe_kernel,66.55,60.19,60.19,12.46,12.5,40.13,324.64,60.19
qwen3-30b-a3b-bf16,agent_prefill_b1,"void activation::act_and_mul_kernel<__nv_bfloat16, &silu<float>>(T1 *, const T1 *, int)",33.12,62.32,62.32,49.65,98.44,34.65,29.34,62.32
qwen3-30b-a3b-bf16,agent_prefill_b1,"void activation::act_and_mul_kernel<__nv_bfloat16, &silu<float>>(T1 *, const T1 *, int)",33.12,62.32,62.32,49.65,98.44,34.65,29.34,62.32
qwen3-30b-a3b-bf16,agent_prefill_b1,"void activation::act_and_mul_kernel<__nv_bfloat16, &silu<float>>(T1 *, const T1 *, int)",33.12,62.32,62.32,49.65,98.44,34.65,29.34,62.32
qwen3-30b-a3b-bf16,agent_prefill_b1,"void activation::act_and_mul_kernel<__nv_bfloat16, &silu<float>>(T1 *, const T1 *, int)",33.12,62.32,62.32,49.65,98.44,34.65,29.34,62.32
qwen3-30b-a3b-bf16,agent_prefill_b1,"void moe_sum_reduce_warp_per_token_vec_kernel<8>(const c10::BFloat16 *, c10::BFloat16 *, long, long, long, long, long, long, float)",21.56,77.29,77.29,40.98,50.0,13.37,25.79,77.29
qwen3-30b-a3b-bf16,agent_prefill_b1,"void moe_sum_reduce_warp_per_token_vec_kernel<8>(const c10::BFloat16 *, c10::BFloat16 *, long, long, long, long, long, long, float)",21.56,77.29,77.29,40.98,50.0,13.37,25.79,77.29
qwen3-30b-a3b-bf16,agent_prefill_b1,"void moe_sum_reduce_warp_per_token_vec_kernel<8>(const c10::BFloat16 *, c10::BFloat16 *, long, long, long, long, long, long, float)",21.56,77.29,77.29,40.98,50.0,13.37,25.79,77.29
qwen3-30b-a3b-bf16,agent_prefill_b1,"void moe_sum_reduce_warp_per_token_vec_kernel<8>(const c10::BFloat16 *, c10::BFloat16 *, long, long, long, long, long, long, float)",21.56,77.29,77.29,40.98,50.0,13.37,25.79,77.29
