model,regime_id,regime_name,regime_hint,rep,input_len_spec,output_len_spec,dataset_name,max_concurrency,num_prompts,request_rate,status,error,duration_s,completed,failed_requests,request_throughput,input_throughput,output_throughput,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_mean_ms,tpot_p50_ms,tpot_p99_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,e2e_mean_ms,e2e_p50_ms,e2e_p99_ms,oom,server_crash,attention_backend,schedule_policy,chunked_prefill_size,max_prefill_tokens,max_running_requests,mem_fraction_static,kv_cache_size_gb_total,max_total_num_tokens,cuda_graph_bs_captured_max,peak_running_reqs,peak_queue_reqs,prefill_batch_count,decode_batch_count,kv_pool_full_events,retract_events,concurrency_capped,at_capacity
gemma,R5,R5_high_concurrency,saturation_high_conc,2,512,256,random,64,128,inf,pass,,76.3,128,0,22.356715983620283,5993.6958257337,2777.297975433954,1056.3728152883414,1041.0363530972973,2615.9396957606073,2806.916675104294,9.656406135038852,9.975940003641881,12.586526828535801,5.2205820102244616,35.39726799353957,39.63977833278477,2235.6227229956858,2239.4951013848186,4697.921998619568,False,False,fa3,lpm,-1,16384,32,0.7,95.42,3848511,32,32,34,83,17,0,0,True,False
gemma,R6,R6_low_concurrency,latency_under_utilization,2,512,256,random,1,16,inf,pass,,79.96,16,0,1.4401875717359092,309.550316199987,212.4276668310466,40.455535156070255,40.68381106480956,43.60124369850382,44.44445910630748,4.455590449930116,4.46053967507278,4.468067775947097,4.469349863938987,4.495461541227996,4.521921321284026,693.7103640957503,600.6265180185437,1164.5723818452097,False,False,fa3,lpm,-1,16384,32,0.7,95.42,3848511,32,1,0,18,60,0,0,False,False
gemma,R7,R7_mixed_lengths,mixed_length_distribution,2,2048±95%,256,random,32,64,inf,pass,,72.44,64,0,18.05605649207358,36049.76316407297,4489.751297107171,183.21978735548328,140.5437976354733,392.8288249997422,393.13869160134345,6.2665988047978365,6.326089182104175,7.3854481651032255,5.342067452147603,5.456662306096405,36.30116590298712,1735.6805621711828,1730.2132829790935,2116.70126240002,False,False,fa3,lpm,-1,16384,32,0.7,95.42,3848511,32,32,15,19,13,0,0,False,False
gemma,R8,R8_prefix_sharing,radix_cache_prefix_reuse,2,2048+128,256,generated-shared-prefix,32,64,inf,pass,,71.4,64,0,19.57860201471463,43802.83918873326,5012.122115766945,221.83975575535442,207.97022082842886,322.73778741946444,323.1531157437712,5.508025260111455,5.493880255038247,6.010560362106737,5.30976103618741,5.392235366161913,5.6995801464654505,1626.3861970837752,1626.6750015784055,1687.2613330488093,False,False,fa3,lpm,-1,16384,32,0.7,95.42,3848511,32,32,1,12,13,0,0,False,False
moe,R1,R1_baseline_short_low_conc,baseline_low_load,1,128,128,random,4,32,inf,pass,,82.2,32,0,6.960363402667822,513.1092895904185,470.47706374907807,56.54816438618582,44.54702092334628,131.42184275202453,131.63789038546383,7.398234276904148,7.321233818258501,9.313543278355306,6.448350148275495,6.843044073320925,39.86254658084363,558.2188277912792,605.8465690584853,1075.0811871979386,False,False,fa3,lpm,-1,16384,32,0.85,61.2,668504,32,4,0,31,15,0,0,False,False
moe,R2,R2_decode_heavy,decode_saturation,1,128,1024,random,32,64,inf,pass,,99.69,64,0,3.2177455991157276,227.35383748752062,1736.0743052729074,99.41518656705739,78.85386911220849,146.6422826051712,146.946212942712,14.662612230813258,15.063593065091078,16.040177457561683,14.233946450985968,15.44370676856488,46.900341974105686,7930.207216155395,7918.19862939883,15472.734881101642,False,False,fa3,lpm,-1,16384,32,0.85,61.2,668504,32,32,0,36,39,0,0,False,False
moe,R3,R3_prefill_heavy,prefill_dominated,1,4096,128,random,8,32,inf,pass,,84.8,32,0,7.938026647136533,18588.62583759925,536.560988679885,123.05784726777347,79.20513849239796,305.0048110075295,305.26959381997585,11.53933458937923,11.838946556367103,15.370454184930813,8.446898078545928,41.646183002740145,49.03740535955876,925.4818345725653,971.6063609812409,1948.3021792769432,False,False,fa3,lpm,-1,16384,32,0.85,61.2,668504,32,8,0,29,9,0,0,False,False
moe,R4,R4_long_in_long_out,prefill_and_decode_mixed,1,4096,512,random,8,24,inf,pass,,89.81,24,0,2.6586995617514453,6295.468224782203,741.5556194318406,144.8365756465743,89.8905765498057,309.1081458493136,309.25936351297423,9.629774640031046,9.427130814968704,16.988473626033063,8.462188532575965,9.048483811784536,42.5159917352721,2707.7273664763197,2642.716064467095,5019.660128513351,False,False,fa3,lpm,-1,16384,32,0.85,61.2,668504,32,8,0,21,25,0,0,False,False
moe,R5,R5_high_concurrency,saturation_high_conc,1,512,256,random,64,128,inf,pass,,91.22,128,0,12.226091470198938,3289.9648015588455,1518.8053161533853,1917.4893936233275,1989.677514997311,4924.676990928127,5236.295244167559,18.316832482266218,18.73975935159251,21.679126310627904,14.303767820820212,47.21427536569536,52.65219748020172,4148.666176224651,4147.601898526773,8678.097914811224,False,False,fa3,lpm,-1,16384,32,0.85,61.2,668504,32,32,34,84,17,0,0,True,False
moe,R6,R6_low_concurrency,latency_under_utilization,1,512,256,random,1,16,inf,pass,,63.61,16,0,1.504387601225182,324.8536976395627,221.89717118071434,44.79389243351761,44.85138796735555,51.87889252556488,52.616708853747696,4.225464864255256,4.227435142467064,4.2587543018156,4.254863015376031,4.296681703999639,4.559290988836438,663.9604142837925,576.9072384573519,1109.6867699874565,False,False,fa3,lpm,-1,16384,32,0.85,61.2,668504,32,1,0,19,60,0,0,False,False
moe,R7,R7_mixed_lengths,mixed_length_distribution,1,2048±95%,256,random,32,64,inf,pass,,92.21,64,0,7.556884699045706,15095.231415314065,1879.0666109470837,406.5992752657621,245.465892017819,997.9296326753683,998.3166770753451,15.217205421962387,15.463620637900952,18.12390218548221,12.662844965234399,14.588169567286968,94.89916656864807,4176.268166178488,4139.221848570742,5155.6663984572515,False,False,fa3,lpm,-1,16384,32,0.85,61.2,668503,32,32,9,20,13,0,0,False,False
moe,R8,R8_prefix_sharing,radix_cache_prefix_reuse,1,2048+128,256,generated-shared-prefix,32,64,inf,fail,empty raw jsonl: /home/t-jialianggu/work/EndtoEnd-auto-optimization/experiments/tmp/regime_study/moe_rep1/20260601_173305/run_0008_R8_prefix_sharing/quick_raw.jsonl,50.62,0,,,,,,,,,,,,,,,,,,True,True,fa3,lpm,-1,16384,32,0.85,61.2,668503,32,1,0,3,1,0,0,False,False
moe,R1,R1_baseline_short_low_conc,baseline_low_load,2,128,128,random,4,32,inf,pass,,85.41,32,0,6.922799886945767,510.3401541657833,467.93800485824045,57.74425074196188,45.804297900758684,134.3801149749197,134.6137567376718,7.417983759885265,7.348110237599988,9.391088575745622,6.44764001481235,6.817339453846216,40.73056294582784,561.3286001243978,609.9975719116628,1083.1395807419904,False,False,fa3,lpm,-1,16384,32,0.85,61.2,668504,32,4,0,32,15,0,0,False,False
moe,R2,R2_decode_heavy,decode_saturation,2,128,1024,random,32,64,inf,pass,,99.54,64,0,3.215737929808568,227.21198310303666,1734.991104942029,100.76136770658195,79.44659644272178,149.33028507512063,149.5957820303738,14.670413967764087,15.070269838191239,16.07144609638208,14.190341462381184,15.473529638256878,45.515719463583004,7936.400427155604,7922.712681465782,15485.173746368382,False,False,fa3,lpm,-1,16384,32,0.85,61.2,668504,32,32,0,36,39,0,0,False,False
moe,R3,R3_prefill_heavy,prefill_dominated,2,4096,128,random,8,32,inf,pass,,84.7,32,0,7.916388276666254,18537.954859749556,535.0983700759097,124.82884155906504,78.61476810649037,312.6655755448155,312.8699596389197,11.549370380662415,11.851964680645919,15.395500528738037,8.443132042884827,41.56312847044319,47.135595232248306,928.0471679157927,972.2997579956427,1955.1407720451243,False,False,fa3,lpm,-1,16384,32,0.85,61.2,668503,32,8,0,29,9,0,0,False,False
moe,R4,R4_long_in_long_out,prefill_and_decode_mixed,2,4096,512,random,8,24,inf,pass,,60.76,24,0,2.126220801191622,5034.625079621612,593.0384184656965,168.1460451024274,144.6369009790942,308.7202259921469,308.83959389058873,12.106187843506927,11.78687621863813,22.496704911948253,9.40471957437694,20.782088313717395,48.95089691737666,3366.4967673733677,3430.6634729728103,6315.4896300588725,False,False,fa3,lpm,-1,16384,32,0.85,61.2,668503,32,8,0,20,25,0,0,False,False
moe,R5,R5_high_concurrency,saturation_high_conc,2,512,256,random,64,128,inf,pass,,61.91,128,0,10.412975232242463,2802.0665539012452,1293.5681184991204,2232.7849762550613,2356.2333860900253,5751.021859725006,6110.115036976058,21.512598322678098,21.92826925602276,25.153485523629932,16.694873105734587,52.148346323519945,60.3489937633276,4848.287104308838,4859.204081585631,10133.912602991331,False,False,fa3,lpm,-1,16384,32,0.85,44.92,490746,32,32,34,83,17,0,0,True,False
moe,R6,R6_low_concurrency,latency_under_utilization,2,512,256,random,1,16,inf,pass,,60.05,16,0,1.4995325492560359,323.80530985497523,221.1810510152653,43.509116701898165,44.22301205340773,48.8775770063512,49.44081617286429,4.245247637680849,4.253321912975349,4.272269927076809,4.261903581209481,4.292753990739584,4.323238471988589,666.2258639989886,579.027580562979,1115.8141486579552,False,False,fa3,lpm,-1,16384,32,0.85,61.2,668504,32,1,0,18,60,0,0,False,False
moe,R7,R7_mixed_lengths,mixed_length_distribution,2,2048±95%,256,random,32,64,inf,pass,,88.32,64,0,7.566531354365624,15114.501061502571,1881.4653120839773,408.818107607658,244.65759354643524,1004.6077418373898,1004.9484129669144,15.19393316221801,15.44326693321525,18.137867253303394,12.634972459636629,13.820195256266743,93.89623787719756,4172.738220251631,4132.668441510759,5161.4176811114885,False,False,fa3,lpm,-1,16384,32,0.85,61.2,668504,32,32,10,20,13,0,0,False,False
moe,R8,R8_prefix_sharing,radix_cache_prefix_reuse,2,2048+128,256,generated-shared-prefix,32,64,inf,pass,,51.79,64,0,13.106636401110334,29963.818724875895,3355.2989186842456,385.0870898604626,249.62430901359767,726.5338533674367,727.560954769142,8.025928320164574,7.825682931762262,9.696914325523027,7.537089986726642,7.987542077898979,10.185565664432943,2431.6988115024287,2431.8431079154834,2672.8440975304693,False,False,fa3,lpm,-1,16384,32,0.85,61.2,668503,32,32,5,12,13,0,0,False,False
